"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI2129";"Marabá";"Marabá";"Grupo 2";"Araguaia (Fanta)";"1";"549";"Censo IBGE";"2010";"1";;;"4";"2";"3";"1";"5";"Área Protegida - municipal";"0";"FBDS";"menos de 1%";"2";;"2";"-";"1";;"1";;"2";;"2";;"de 100 a 700"
"NUI2156";"Marabá";"Marabá";"Grupo 2";"São Félix III";"1";"149";"Censo IBGE";"2010";"1";;;"4";"2";"2";"1";"5";"Área Protegida - municipal";"0";;;"2";;"2";"-";"1";;"1";;"3";;"2";;"de 100 a 700"
"NUI2157";"Marabá";"Marabá";"Grupo 2";"São José (Km 08)";"1";"116";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"0";;;"2";;"2";"-";"1";;"1";;"2";;"2";;"de 100 a 700"
"NUI2125";"Marabá";"Jacundá";"Grupo 3";"Castanheira";"1";"40";"Estimativa dos técnicos municipais";"2020";"1";;;"3";"3";"2";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"Incêncio/eletrochoque";"1";"-";"2";;"3";;"2";;"2";;"até 50"
"NUI2146";"Marabá";"Marabá";"Grupo 2";"Infraereo";"1";"186";"Censo IBGE";"2010";"1";;;"4";"2";"3";"1";"5";"remoção, área segurança do sitio portuário aeroporto";"0";;;"2";;"4";"2";"1";;"2";;"3";;"3";"diminuição, pessoas serão remanejadas";"de 100 a 700"
"NUI2126";"Marabá";"Jacundá";"Grupo 3";"Bela Esperança junto rio Arrais";"1";"174";"CADUNICO";"2020";"1";;;"4";"3";"2";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"Alagamento e Incêncio/eletrochoque";"1";"-";"2";;"3";;"2";;"3";;"de 100 a 700"
"NUI2127";"Marabá";"Jacundá";"Grupo 3";"Bela Vista junto rio Arrais";"1";"566";"CADUNICO";"2020";"1";;;"4";"3";"2";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"Alagamento e Incêncio/eletrochoque";"1";"-";"2";;"3";;"2";;"3";;"de 100 a 700"
"NUI2148";"Marabá";"Marabá";"Grupo 2";"Jardim União";"1";"514";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"Prefeitura";"Pesquisa de Campo";"2";;"4";"2";"1";;"1";;"3";;"2";;"de 100 a 700"
"NUI2150";"Marabá";"Marabá";"Grupo 2";"Nossa Senhora Aparecida (Coca Cola)";"1";"1465";"Aglomerados Subnormais 2019";"2020";"1";;;"4";"2";"3";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"alagamento";"4";"1";"1";;"1";;"2";;"3";"Dinalva - asfalto, cuidado de cuidar";"de 701 a 2.000"
"NUI2137";"Marabá";"Marabá";"Grupo 2";"Folha 01 - Área da COSIPAR";"1";"97";"Censo IBGE";"2010";"1";;;"3";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"4";"1";"1";;"1";;"2";;"2";;"de 51 a 99"
"NUI2144";"Marabá";"Marabá";"Grupo 2";"Francolândia";"1";"64";"Censo IBGE";"2010";"1";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"0";;;"2";;"2";"-";"1";;"1";;"2";;"3";;"de 51 a 99"
"NUI2119";"Marabá";"Jacundá";"Grupo 3";"Loteamento do Jaliro";"1";"30";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"2";"4";"5";"Área Protegida - municipal";"0";"FBDS";"menos de 1%";"2";;"1";"-";"2";;"1";;"2";;"2";"195 lotes/ 30 familias";"até 50"
"NUI2120";"Marabá";"Jacundá";"Grupo 3";"Loteamento do Laurindo";"1";"62";"CADUNICO";"2020";"2";;;"3";"2";"3";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";;"1";;"1";;"2";"163 lotes/ 21 familias";"de 51 a 99"
"NUI2117";"Marabá";"Jacundá";"Grupo 3";"Loteamento do Sr. Berg / Jardim Floresta";"1";"270";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"2";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";;"1";;"1";;"2";"310/ 270 familias";"de 100 a 700"
"NUI2118";"Marabá";"Jacundá";"Grupo 3";"Loteamento Dona Edna";"1";"200";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"3";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";;"1";;"1";;"2";"255 lotes/ 200 familias";"de 100 a 700"
"NUI2123";"Marabá";"Jacundá";"Grupo 3";"Loteamento do Marquinho";"1";"10";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"2";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";;"1";;"1";;"2";"180 lotes / 10 familias";"até 50"
"NUI2124";"Marabá";"Jacundá";"Grupo 3";"Invasão/proprietário";"1";"150";"Estimativa dos técnicos municipais";"2020";"1";;;"3";"2";"2";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";"Ainda não tem um traçado definido";"3";;"3";;"3";;"de 100 a 700"
