"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI0654";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Riachinho";"3.PLHIS";"414";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"3";;"1";"FBDS";;"3";"escorregamento";"4";"1";"3";;"4";;"2";"alvenaria e laje";"3";;"de 100 a 700"
"NUI0653";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Vulcan (Beco Barroquinha)";"3.PLHIS";"28";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"3";;"1";"FBDS";;"2";;"4";"1";"3";;"4";;"2";"alvenaria e telha";"2";;"até 50"
"NUI0611";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Rui Barbosa";"3.PLHIS";"154";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"1";;"0";;;"2";;"2";"-";"2";;"4";;"1";"alvenaria e laje";"2";;"de 100 a 700"
"NUI0665";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Renascer";"3.PLHIS";"991";"PLHIS";"2012";"1";;;"4";"2";"1";"1";"4";;"1";"FBDS";;"3";"escorregamento e inundação";"2";"-";"2";;"1";;"2";"alvenaria e telha sem laje";"1";;"de 701 a 2.000"
"NUI0618";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Vera Cruz";"3.PLHIS";"108";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"3";"inundação";"2";"-";"3";;"4";;"3";"alvenaria e laje";"2";;"de 100 a 700"
"NUI0617";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Bandeirantes";"3.PLHIS";"555";"PLHIS";"2012";"1";;;"4";"2";"3";"1";"1";;"1";"FBDS";;"3";"escorregamento";"2";"-";"2";;"4";;"2";"alvenaria e laje";"2";;"de 100 a 700"
"NUI0661";"Belo Horizonte";"Contagem";"Grupo 1";"Nascente Imperial";"3.PLHIS";"94";"PLHIS";"2012";"1";;;"4";"2";"1";"2";"4";;"1";"FBDS";;"3";"inundação";"4";"1";"1";;"1";;"2";"alvenaria e telha sem laje";"3";;"de 51 a 99"
"NUI0669";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Belém";"3.PLHIS";"38";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"2";;"2";"-";"2";;"2";;"2";"alvenaria e telha com laje";"2";;"até 50"
"NUI0664";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Formosa";"3.PLHIS";"809";"PLHIS";"2012";"1";;;"4";"2";"1";"1";"4";;"1";"FBDS";;"3";"escorregamento e inundação";"4";"2";"3";;"2";;"2";"alvenaria e telha sem laje";"2";;"de 701 a 2.000"
"NUI0662";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Soledad";"3.PLHIS";"620";"PLHIS";"2012";"1";;;"4";"3";"1";"1";"3";;"1";"FBDS";;"3";"escorregamento";"4";"2";"1";;"2";;"2";"alvenaria e telha sem laje";"1";;"de 100 a 700"
"NUI0589";"Belo Horizonte";"Contagem";"Grupo 1";"Vila Santo Antônio";"3.PLHIS";"335";"PLHIS";"2012";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"2";;"4";"2";"3";;"4";;"2";"alvenaria e telha sem laje";"2";;"de 100 a 700"
